type,full,abbr,wrong_vis,regex_vis
abb_sp,Day45,D45,d 45,d\s45(?![:digit:])
abb_us,Day45,D45,d_45,d\_45(?![:digit:])
s_nosp,Day46,D46,d46,d46(?![:digit:])
s_sp,Day46,D46,d 46,d\s46(?![:digit:])
s_us,Day46,D46,d_46,d\_46(?![:digit:])
f_nosp,Day46,D46,day46,day46(?![:digit:])
f_sp,Day46,D46,day 46,day\s46(?![:digit:])
f_us,Day46,D46,day_46,day\_46(?![:digit:])
abb_nosp,Day46,D46,d46,d46(?![:digit:])
abb_sp,Day46,D46,d 46,d\s46(?![:digit:])
abb_us,Day46,D46,d_46,d\_46(?![:digit:])
s_nosp,Day47,D47,d47,d47(?![:digit:])
s_sp,Day47,D47,d 47,d\s47(?![:digit:])
s_us,Day47,D47,d_47,d\_47(?![:digit:])
f_nosp,Day47,D47,day47,day47(?![:digit:])
f_sp,Day47,D47,day 47,day\s47(?![:digit:])
f_us,Day47,D47,day_47,day\_47(?![:digit:])
abb_nosp,Day47,D47,d47,d47(?![:digit:])
abb_sp,Day47,D47,d 47,d\s47(?![:digit:])
abb_us,Day47,D47,d_47,d\_47(?![:digit:])
s_nosp,Day48,D48,d48,d48(?![:digit:])
s_sp,Day48,D48,d 48,d\s48(?![:digit:])
s_us,Day48,D48,d_48,d\_48(?![:digit:])
f_nosp,Day48,D48,day48,day48(?![:digit:])
f_sp,Day48,D48,day 48,day\s48(?![:digit:])
f_us,Day48,D48,day_48,day\_48(?![:digit:])
abb_nosp,Day48,D48,d48,d48(?![:digit:])
abb_sp,Day48,D48,d 48,d\s48(?![:digit:])
abb_us,Day48,D48,d_48,d\_48(?![:digit:])
s_nosp,Day49,D49,d49,d49(?![:digit:])
s_sp,Day49,D49,d 49,d\s49(?![:digit:])
s_us,Day49,D49,d_49,d\_49(?![:digit:])
f_nosp,Day49,D49,day49,day49(?![:digit:])
f_sp,Day49,D49,day 49,day\s49(?![:digit:])
f_us,Day49,D49,day_49,day\_49(?![:digit:])
abb_nosp,Day49,D49,d49,d49(?![:digit:])
abb_sp,Day49,D49,d 49,d\s49(?![:digit:])
abb_us,Day49,D49,d_49,d\_49(?![:digit:])
s_nosp,Day50,D50,d50,d50(?![:digit:])
s_sp,Day50,D50,d 50,d\s50(?![:digit:])
s_us,Day50,D50,d_50,d\_50(?![:digit:])
f_nosp,Day50,D50,day50,day50(?![:digit:])
f_sp,Day50,D50,day 50,day\s50(?![:digit:])
f_us,Day50,D50,day_50,day\_50(?![:digit:])
abb_nosp,Day50,D50,d50,d50(?![:digit:])
abb_sp,Day50,D50,d 50,d\s50(?![:digit:])
abb_us,Day50,D50,d_50,d\_50(?![:digit:])
s_nosp,Day51,D51,d51,d51(?![:digit:])
s_sp,Day51,D51,d 51,d\s51(?![:digit:])
s_us,Day51,D51,d_51,d\_51(?![:digit:])
f_nosp,Day51,D51,day51,day51(?![:digit:])
f_sp,Day51,D51,day 51,day\s51(?![:digit:])
f_us,Day51,D51,day_51,day\_51(?![:digit:])
abb_nosp,Day51,D51,d51,d51(?![:digit:])
abb_sp,Day51,D51,d 51,d\s51(?![:digit:])
abb_us,Day51,D51,d_51,d\_51(?![:digit:])
s_nosp,Day52,D52,d52,d52(?![:digit:])
s_sp,Day52,D52,d 52,d\s52(?![:digit:])
s_us,Day52,D52,d_52,d\_52(?![:digit:])
f_nosp,Day52,D52,day52,day52(?![:digit:])
f_sp,Day52,D52,day 52,day\s52(?![:digit:])
f_us,Day52,D52,day_52,day\_52(?![:digit:])
abb_nosp,Day52,D52,d52,d52(?![:digit:])
abb_sp,Day52,D52,d 52,d\s52(?![:digit:])
